Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,979344507.8,2023034713,2143951791,2480214114,2435623906,2627714623,2729151878,2586976890,2612976572,2520275122,2432913668,2551782760
Angola,AGO,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,9763465564,8776917205,9109536719,9099850424,9786029392,12223970247,9890493323,11931686535,15501571033,17014267589,16949091911,19298251295,21106470239,25003934465,28902788893,27991039712,35364610215,37201179124
Albania,ALB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1122377829,1154928426,1181531103,1552156220,1606135184,2101163197,2465360702,2897756965,4238093383,4587545148,5372234130,6330314179,7176186040,8821566703,8399731747,8207619161,8340912384,9114636797
Andorra,AND,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,
Argentina,ARG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,
Armenia,ARM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1018418174,1410424531,1719549290,1996130970,2107914571,1969824793,2138883503,3081934925,3612490093,4934959250,6307170669,7410792665,7640566739,8681090933,8555658358,8931020972,9955623313,10334717739
American Samoa,ASM,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,
Australia,AUS,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,,,,,,,,,,,,,,,,,,
