Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,,2461665938,4128820723,4583644246,5285465686,6275073572,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20264253974,20616104298,19215562179,19469022208,20815300220
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,9129594819,8936063723,12497347956,14188949398,19640853734,28233712738,41789479932,60448924662,84178035579,75492385928,82526143645,1.04E+11,1.14E+11,1.25E+11,1.27E+11,1.03E+11,95337203468,1.24E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011897,12881352688,12044212904,11926953259,12890867539,12319784787,12776277515,13228244357,11386931490,11883682171,13039352744
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1434429703,1496912752,1733116883,2398645598,2935659300,3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947,3012914131
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.75E+11,3.90E+11,4.03E+11,3.58E+11,3.57E+11,3.83E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.55E+11,6.38E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,659000000,658000000,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,830158777.8,800740259.3,814615333.3,855643111.1,919577148.1,1022191296,1157005444,1311401333,1368431037,1224253000,1152469074,1142042926,1211411704,1192925407,1280133333,1364863037,1460144704,1532397556
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,4.15E+11,3.78E+11,3.94E+11,4.66E+11,6.12E+11,6.93E+11,7.46E+11,8.52E+11,1.05E+12,9.26E+11,1.14E+12,1.39E+12,1.54E+12,1.57E+12,1.46E+12,1.35E+12,1.21E+12,1.32E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1.97E+11,1.97E+11,2.13E+11,2.62E+11,3.01E+11,3.16E+11,3.36E+11,3.89E+11,4.30E+11,4.00E+11,3.92E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.91E+11,4.17E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272617196,5707720391,6235795104,7276013032,8680472169,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957,40747792238
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117257279,1273180597,1356078278,1611634332,1739781489,2026864469,2355652126,2472384907,2714505635,3093647227,3066681387,3007029030,3477502178
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,2.38E+11,2.38E+11,2.59E+11,3.19E+11,3.71E+11,3.87E+11,4.10E+11,4.72E+11,5.19E+11,4.85E+11,4.84E+11,5.27E+11,4.98E+11,5.21E+11,5.31E+11,4.55E+11,4.68E+11,4.93E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9157355680,9707432016,8291155881,8573159697,9273558272
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,2628920056,2812845514,3205592290,4205691222,4838551100,5462709498,5816310158,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,11448781714,12873114800
