Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,870,920,920,1010,1070,1210,1250,1490,1590,1680,1900,1940,1950,1940,1970,2000
Angola,AGO,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1860,1940,2280,2370,2580,3040,3580,4480,4810,5200,5210,5360,5550,5900,6130,6250,6090,6060
Albania,ALB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4150,4600,4870,5250,5650,6060,6830,7490,8270,8670,9540,10210,10450,10750,11360,11470,11750,12120
Andorra,AND,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,83950,79600,82060,85010,83040,82570,76680,69330,59430,56070,58420,60600,64150,67480,71200,71750,74410
Argentina,ARG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,11500,11090,9480,10530,11720,13290,14730,16430,17270,16110,17710,19070,19120,19730,19400,19630,19260,20270
Armenia,ARM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,2380,2690,3130,3650,4150,4970,5870,6960,7690,6590,6890,7270,7950,8490,8790,9090,9020,10060
American Samoa,ASM,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,14180,13870,13740,14780,15820,17320,19910,22070,22130,19430,18310,17960,18580,18980,20040,20970,22090,22980
Australia,AUS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,25560,26580,27930,28840,30420,31330,32950,34880,35880,38820,37750,40210,41430,44650,45520,45270,45110,47160
Austria,AUT,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,29120,29330,31000,32030,33710,34940,37720,39350,41660,40900,42400,44600,46500,48050,48850,49520,50500,52500
Azerbaijan,AZE,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3340,3710,4120,4650,5100,6280,8570,10560,12380,13800,14690,14680,15260,16320,17100,17100,16120,16650
Burundi,BDI,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,610,600,620,600,620,630,670,700,730,730,740,770,790,820,840,800,780,770
Belgium,BEL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,28690,29510,30990,31630,32680,33720,35870,37350,39030,38050,41350,41660,43390,44240,44940,45330,46750,48240
Benin,BEN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1310,1370,1410,1440,1500,1540,1600,1690,1770,1760,1770,1820,1870,1990,2090,2110,2170,2260
Burkina Faso,BFA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,840,900,920,990,1030,1120,1200,1260,1340,1340,1360,1420,1520,1580,1600,1630,1730,1810
Bangladesh,BGD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,1340,1410,1480,1550,1650,1790,1970,2150,2330,2440,2590,2770,2990,3170,3340,3550,3790,4040
Bulgaria,BGR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,6220,6930,7890,8480,9230,10240,11030,11870,13720,13880,14640,15180,15990,16270,17360,17750,19190,20500
Bahrain,BHR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,34740,34300,33580,34640,35760,37470,38350,39730,39100,35290,36080,35440,36510,38840,38350,44170,44010,42930
"Bahamas, The",BHS,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,20130,20720,21190,21010,21380,22070,22770,23260,23150,21760,21770,22030,29630,29600,29300,29650,28990,29790
Bosnia and Herzegovina,BIH,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5010,5180,5510,5690,6140,6720,7610,8400,9340,9350,9470,9980,10260,10970,11250,11600,12190,12880
Belarus,BLR,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5970,6430,6910,7630,8790,10000,11350,12640,14200,14220,15600,16820,17400,17620,18320,17550,17250,18140
Belize,BLZ,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,5160,5310,5530,5900,6040,6290,6600,6530,6720,6950,6850,7340,7510,7540,7720,8190,8030,7890
Bermuda,BMU,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,,,,,,,,75090,74800,68450,68910,68110,67140,66670,,,,
Bolivia,BOL,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,3400,3480,3550,3610,3770,4020,4280,4510,4830,4910,5070,5330,5540,5910,6320,6720,7100,7330
Brazil,BRA,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8620,8800,9110,9280,10000,10520,11130,11980,12620,12590,13830,14580,15070,15780,15880,15330,14880,15160
Barbados,BRB,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,11980,11880,12110,12580,13040,13740,14670,15570,15740,15230,15730,15410,16150,16270,16500,16710,17170,17830
Brunei Darussalam,BRN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,65030,66960,69250,71340,72410,73870,78400,80020,78980,77340,78340,80220,81500,80920,80080,83440,83090,83760
