Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,-11.78993808,0.948123426,0.172142932,7.616119456,15.96005875,25.00948232,18.1958626,16.45675994,18.09619399,
Angola,AGO,Gross savings (% of GDP),NY.GNS.ICTR.ZS,39.20787725,14.48022216,10.61870944,7.768149181,12.63524208,26.97697579,40.94151603,31.00943215,24.76535754,5.199363766,23.58509766,25.47312181,26.03257186,21.38140993,12.35217177,-0.452477207,3.049233429,
Albania,ALB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,34.04056669,37.62679375,31.37596016,29.47501249,24.77650108,27.76773609,26.82649996,23.36908313,16.28860321,16.47901164,22.00605614,23.59593223,22.12474187,17.5477698,19.18201658,16.82953499,14.54069343,16.72992734
Andorra,AND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,
Argentina,ARG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,14.36840152,14.21407025,19.20101286,19.61916066,19.17473405,21.28630592,21.42677834,22.24578045,21.12454759,18.31781803,17.32133461,17.36013705,16.2230056,15.20527265,15.91864439,12.61085146,12.40377635,13.98662004
Armenia,ARM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,2.784418482,9.369913543,14.28864952,19.90529142,22.04147589,27.3924554,31.47903342,31.55161702,30.79382551,17.17075559,16.43329066,14.4144952,12.81265616,14.45507937,13.44134478,18.37312852,16.62330318,18.41521109
American Samoa,ASM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,,,,,,,,
