Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,24,33,36,41,50,58,58,63,64,63,66,68,67,64,62,65,65,65
Angola,AGO,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,23,32,35,31,30,28,22,58,54,44,60,51,54,54,55,55,55,52
Albania,ALB,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,97,97,98,97,97,98,97,98,99,98,99,99,99,99,98,99,98,99
Andorra,AND,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,98,96,97,99,99,98,93,96,99,99,99,99,99,96,97,97,98,99
United Arab Emirates,ARE,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,94,94,94,94,94,94,92,92,92,93,94,95,96,98,99,99,99,97
Argentina,ARG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,83,83,93,96,98,98,91,91,93,94,94,91,91,94,94,94,92,86
Armenia,ARM,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,93,94,94,94,91,90,87,88,89,93,94,95,95,95,93,94,94,94
American Samoa,ASM,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,95,97,98,99,97,99,99,99,99,99,98,99,98,99,99,99,92,95
Australia,AUS,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,90,92,92,93,92,92,92,92,92,92,92,92,92,91,92,93,94,95
Austria,AUT,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,81,84,83,84,83,86,83,85,83,83,86,89,92,95,98,93,87,90
Azerbaijan,AZE,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,76,77,76,77,77,75,78,79,81,81,81,87,89,93,94,96,97,95
Burundi,BDI,"Immunization, DPT (% of children ages 12-23 months)",SH.IMM.IDPT,80,81,81,82,83,87,92,99,92,94,96,96,96,96,95,94,94,91
