Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,11,,8,9,14,14,14,31,34,22,20,19,22,25,40,41,42,38,31,31,27,37,35,39,48,50,53,55,59,60,62,64,59,57,60,62,62,62
Angola,AGO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,26,35,44,44,55,56,48,38,39,39,47,44,46,62,78,60,42,35,64,64,50,50,29,30,68,57,53,67,60,67,59,56,51,45,42
Albania,ALB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,90,90,93,96,96,96,96,96,96,96,88,80,87,76,90,91,92,95,89,85,95,95,96,93,96,97,95,97,98,97,99,99,98,99,98,97,96,96
Andorra,AND,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,97,97,97,98,96,98,94,91,94,98,98,99,99,98,95,96,96,97,99
United Arab Emirates,ARE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,34,42,41,51,53,60,67,71,74,78,80,82,85,90,90,90,90,95,95,96,94,94,94,94,94,92,92,92,92,93,94,95,96,98,99,99,99,99
Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,61,77,67,67,79,54,87,80,87,89,93,99,92,95,96,99,99,93,95,97,91,89,95,97,99,98,97,94,96,96,95,95,94,94,95,89,90,89
Armenia,ARM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,95,95,96,89,92,94,92,92,93,91,94,92,94,92,92,94,96,97,97,97,97,97,97,97,96
American Samoa,ASM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,48,73,69,80,89,95,95,89,87,99,99,91,93,99,93,99,99,95,97,99,99,97,99,99,99,99,99,98,99,98,96,93,91,88,88
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,68,68,68,68,68,77,85,86,86,86,86,86,87,87,85,82,88,91,92,94,94,94,94,94,94,94,94,94,94,94,94,94,95,95,95
Austria,AUT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,25,25,25,30,40,60,60,60,60,60,60,60,60,60,60,87,90,78,65,75,79,78,79,74,75,80,79,83,76,80,84,88,92,96,96,95,96
Azerbaijan,AZE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,49,60,64,65,66,67,68,67,68,66,67,67,67,69,75,79,85,89,92,94,98,98,98,98,98
Burundi,BDI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,28,40,54,27,32,59,54,46,73,74,74,69,69,42,80,79,77,68,70,72,73,75,76,78,87,92,88,84,91,92,93,93,98,94,93,93,90
Belgium,BEL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,50,58,66,74,82,90,50,75,75,85,67,87,70,78,85,73,76,80,82,82,82,82,82,82,88,92,92,93,95,95,95,96,96,96,96,96,96
Benin,BEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,23,20,26,30,48,79,60,70,67,78,65,60,66,67,69,70,68,66,65,63,61,66,70,66,71,68,70,74,68,68,74,74,74
Burkina Faso,BFA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,37,52,66,79,69,60,50,45,43,40,41,24,36,48,63,64,76,78,84,88,94,94,94,92,89,87,82,88,88,88,88
Bangladesh,BGD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,3,6,13,53,65,68,69,74,78,79,69,72,71,71,74,77,75,76,81,88,83,89,92,93,88,93,88,91,94,94,94,94
Bulgaria,BGR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,98,98,90,98,98,99,99,99,99,99,99,98,92,88,93,94,95,93,95,96,89,90,92,96,95,96,96,96,96,96,97,95,94,95,93,92,92,94
Bahrain,BHR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,45,50,54,59,65,78,78,78,78,85,87,88,87,90,93,95,95,94,99,94,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Bahamas, The",BHS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,65,66,63,79,85,87,78,87,86,93,94,88,88,90,92,93,92,86,93,94,94,90,89,85,88,96,90,98,94,90,91,92,92,94,89,90
Bosnia and Herzegovina,BIH,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,48,57,53,70,86,84,83,80,92,89,84,88,90,85,96,84,93,91,89,94,92,89,83,68,69
Belarus,BLR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,96,97,93,96,97,98,98,98,99,99,99,99,99,97,99,99,99,99,99,98,99,99,99,98,97
Belize,BLZ,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,21,40,51,43,43,49,85,53,59,71,86,76,69,80,82,83,81,85,84,82,96,94,88,96,97,95,99,96,96,97,98,98,96,99,95,96,95,90
Bermuda,BMU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,13,17,15,13,20,21,55,57,58,59,53,54,57,57,64,58,61,51,65,79,84,88,91,96,90,89,88,86,92,93,88,96,92,87,89,95,94,83
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,57,73,66,68,73,67,67,64,62,60,78,85,91,85,77,87,80,99,95,99,99,99,96,97,97,98,99,99,99,99,99,99,99,98,97,96,95,97
Barbados,BRB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,41,47,53,55,84,88,84,85,84,85,87,92,90,92,97,92,99,92,97,86,94,93,91,90,98,93,92,75,94,94,85,93,90,87,95,96,92,92
Brunei Darussalam,BRN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,73,80,88,94,90,98,99,99,99,99,99,96,92,99,99,99,99,98,99,94,99,99,99,98,99,98,97,97,99,99,94,91,95,96,97,96,98,97
Bhutan,BTN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,21,21,20,21,36,44,51,58,64,79,93,89,86,84,81,85,85,84,71,77,78,78,78,88,87,93,90,95,99,94,95,95,95,94,97,97,97,97
Botswana,BWA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,63,70,75,79,82,85,91,87,87,87,87,88,88,88,88,89,89,89,89,90,91,91,92,92,93,93,94,95,95,96,96,97,97,97,97,97,97,97
Central African Republic,CAF,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,12,15,16,16,19,23,24,17,40,69,82,57,32,42,52,46,44,42,37,37,36,35,42,49,55,62,61,59,58,56,53,49,49,25,49,49,49,49
Canada,CAN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,85,87,89,92,94,96,97,96,97,96,96,96,96,95,95,95,94,94,93,94,93,91,90,88,98,90,90,90,90,89
Switzerland,CHE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,70,90,90,83,83,83,83,83,83,83,81,82,82,82,82,82,82,87,87,87,92,92,92,93,93,93,94,94,94,95
Chile,CHL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,94,95,96,95,94,92,91,92,95,92,97,99,89,94,96,97,93,96,98,94,97,96,95,96,94,90,91,92,96,93,93,91,90,90,97,96,93,93
China,CHN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,78,84,88,63,77,95,95,98,92,87,81,75,80,84,83,83,84,84,85,85,85,86,86,93,94,97,99,99,99,99,99,99,99,99,99
Cote d'Ivoire,CIV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,31,31,31,30,31,41,56,57,54,52,55,57,65,68,66,57,68,71,71,70,78,84,73,67,63,67,70,49,74,69,59,69,74,78
Cameroon,CMR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,16,21,25,31,39,44,44,48,56,56,48,37,32,38,46,39,43,47,46,49,51,53,61,64,68,73,74,80,74,79,76,82,83,80,79,78,77
"Congo, Dem. Rep.",COD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,18,23,25,30,30,40,39,41,44,41,38,17,25,33,39,27,21,20,20,15,46,35,42,49,57,61,63,68,64,72,74,74,72,76,77,79,77,80
"Congo, Rep.",COG,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,49,49,55,59,52,67,69,69,73,75,75,64,60,55,47,38,42,18,21,23,34,35,37,50,65,54,61,59,69,63,75,83,80,80,80,80,67,70
Colombia,COL,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,13,26,28,43,51,51,45,59,74,81,82,78,74,94,84,95,90,80,78,79,88,93,93,93,94,96,95,93,95,89,88,88,94,92,91,94,93,93
Comoros,COM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,42,18,71,71,40,85,87,40,51,56,59,69,43,49,67,69,70,70,71,67,76,67,66,65,76,79,72,79,85,85,86,90,90,90
Cabo Verde,CPV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,54,58,75,80,84,79,76,82,88,87,85,84,83,84,85,86,88,89,90,91,92,94,95,96,97,97,96,91,91,93,92,93,96
Costa Rica,CRI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,60,79,87,84,76,78,90,93,97,77,90,96,92,89,87,91,84,99,83,88,82,82,94,89,88,89,90,90,89,81,83,83,90,91,95,93,93,96
Cuba,CUB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,48,49,55,94,82,85,80,99,89,98,94,99,99,96,99,99,99,96,99,96,94,96,98,99,99,98,96,97,98,99,99,99,99,99,99,99,99,99
Cayman Islands,CYM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,29,28,21,19,25,43,60,91,74,76,77,78,80,81,82,83,90,90,89,87,86,86,86,86,86,86,87,87,87,87,87,87,86,86,86,90,90,90
Czech Republic,CZE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,97,96,97,96,95,97,97,97,98,97,97,97,97,98,97,98,98,98,98,99,99,99,98,97
Germany,DEU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,25,50,50,47,48,50,70,75,75,75,75,75,75,89,90,92,91,91,92,92,92,94,94,95,96,96,96,97,97,97,97,97,97,97,97,97,97,97
Djibouti,DJI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,15,18,20,27,19,22,68,75,85,53,41,41,42,41,41,31,21,23,50,49,62,66,60,65,67,74,73,84,85,84,83,80,71,74,75,75
Dominica,DMA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,43,63,85,93,97,87,90,88,88,98,99,99,99,99,99,99,98,99,99,99,99,99,99,98,97,96,99,99,99,99,99,93,94,96,96,77
Denmark,DNK,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,72,80,84,86,85,81,88,88,85,84,91,92,99,94,95,96,96,95,90,89,87,84,85,87,90,89,90,91,94,97
Dominican Republic,DOM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,30,18,25,24,19,54,71,71,29,65,70,72,73,75,76,78,79,79,80,83,85,88,86,83,81,79,81,82,83,84,85,87,88,83,88,90,85,86
Algeria,DZA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,68,67,73,81,82,83,85,86,87,88,89,90,92,84,83,80,83,81,84,81,83,91,92,88,92,95,95,95,95,95,95,94,88
Ecuador,ECU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,24,31,45,34,54,51,50,47,53,57,60,54,69,85,83,81,79,77,89,99,99,99,99,99,99,93,97,98,98,97,95,94,96,97,85,84,86,81
"Egypt, Arab Rep.",EGY,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,41,41,41,41,47,74,78,76,85,86,86,89,89,89,89,89,92,92,98,96,98,97,97,98,97,98,98,97,92,95,96,96,93,96,93,92,95,94
Eritrea,ERI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,51,58,66,73,79,88,76,84,83,92,96,95,95,96,96,97,97,98,98,94,90,97,99,99
Spain,ESP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,8,27,40,68,79,83,85,84,97,99,85,83,90,90,90,90,93,93,95,94,96,97,98,97,97,97,97,98,98,95,97,97,95,96,96,97,96
Estonia,EST,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,76,81,86,88,89,92,93,95,95,95,96,96,96,96,95,95,95,94,94,94,93,93,93,93
Ethiopia,ETH,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,4,3,7,7,8,12,10,13,15,23,38,17,12,22,54,38,54,51,44,37,36,35,36,35,35,40,44,49,54,59,64,68,62,55,54,65,66,65
Fragile and conflict affected situations,FCS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,25.58727434,33.31502816,33.84052489,37.98653882,45.76687082,53.17432701,57.32204241,51.27149725,50.59454829,52.12149541,53.86808656,55.21523602,54.99140966,54.93123815,55.30282764,55.54040203,60.2268908,57.62526325,59.4607831,62.06939294,65.66981661,67.68413513,67.09054884,68.38324594,68.70860354,72.58001034,74.95684932,73.79426276,72.67813969,71.87888055,70.36015282,71.13298696,72.39171046,72.98027341
Finland,FIN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,70,75,81,83,85,87,92,98,95,97,97,99,99,99,98,98,96,96,96,96,96,96,97,97,97,97,98,97,98,98,97,97,97,96,95,94,94
Fiji,FJI,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,32,40,2,25,22,57,61,64,69,65,84,93,91,96,96,94,94,75,77,79,81,83,85,86,88,90,92,94,94,94,94,94,94,94,94,94,94,94
France,FRA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,15,26,35,39,45,51,58,71,74,76,78,80,83,84,83,82,83,84,85,86,87,88,87,89,90,89,89,89,89,91,90,91,91,90,90
Faroe Islands,FRO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
