Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.971,7.022,7.084,7.154,7.233,7.32,7.418,7.527,7.649,7.78,7.919,8.061,8.204,8.346,8.486,8.624,8.762,
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.959,11.574,11.167,10.748,10.325,9.906,9.498,9.108,8.742,8.403,8.095,7.816,7.563,7.331,7.118,6.924,6.747,
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,17.858,17.029,16.189,15.357,14.548,13.773,13.034,12.327,11.654,11.023,10.45,9.949,9.525,9.176,8.899,8.683,8.513,
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.925,5.892,5.907,5.973,6.086,6.231,6.386,6.527,6.64,6.72,6.776,6.822,6.879,6.963,7.076,7.217,7.379,
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,,,,,3.8,3.6,3.3,2.8,2.8,3.2,2.8,,3.9,,,,4.3,
United Arab Emirates,ARE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,1.91,1.852,1.794,1.738,1.682,1.629,1.581,1.54,1.508,1.485,1.474,1.473,1.482,1.499,1.524,1.555,1.592,
Argentina,ARG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.796,7.782,7.77,7.759,7.746,7.731,7.714,7.695,7.676,7.656,7.637,7.619,7.603,7.59,7.579,7.57,7.564,
Armenia,ARM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.575,8.612,8.697,8.824,8.986,9.168,9.349,9.509,9.634,9.717,9.757,9.762,9.747,9.727,9.708,9.694,9.688,
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,,,,,,,4,,,,,,,,4.2,,,
Antigua and Barbuda,ATG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.443,6.353,6.273,6.206,6.154,6.114,6.082,6.052,6.019,5.982,5.941,5.9,5.862,5.831,5.808,5.794,5.788,
Australia,AUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.7,6.6,6.8,6.6,6.5,6.4,6.4,6.7,6.7,6.5,6.5,6.6,6.6,6.4,6.5,6.6,6.5,
Austria,AUT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.6,9.3,9.4,9.5,9.1,9.1,9,9,9,9.3,9.2,9.1,9.4,9.4,9.2,9.6,9.2,
Azerbaijan,AZE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.8,5.6,5.7,6,6,6.2,6.2,6.3,6,5.9,5.9,5.9,5.9,5.8,5.8,5.7,5.8,
Burundi,BDI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.202,13.976,13.81,13.665,13.522,13.369,13.195,13.002,12.793,12.564,12.319,12.061,11.799,11.538,11.282,11.032,10.788,
Belgium,BEL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.2,10.1,10.2,10.3,9.7,9.9,9.6,9.5,9.8,9.6,9.7,9.4,9.8,9.8,9.3,9.8,9.5,
Benin,BEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.69,12.451,12.18,11.891,11.592,11.293,11.006,10.739,10.497,10.282,10.093,9.926,9.77,9.618,9.469,9.319,9.172,
Burkina Faso,BFA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.539,15.197,14.801,14.354,13.863,13.336,12.785,12.225,11.672,11.141,10.645,10.194,9.787,9.423,9.101,8.818,8.568,
Bangladesh,BGD,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.939,6.747,6.578,6.425,6.286,6.155,6.032,5.917,5.808,5.707,5.614,5.53,5.457,5.397,5.349,5.312,5.284,
Bulgaria,BGR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.1,14,14.4,14.4,14.3,14.8,14.9,15,14.8,14.5,14.9,14.7,15,14.4,15.1,15.3,15.1,
Bahrain,BHR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.835,2.763,2.688,2.615,2.545,2.483,2.43,2.388,2.357,2.337,2.326,2.324,2.326,2.332,2.339,2.348,2.359,
"Bahamas, The",BHS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.605,5.583,5.57,5.571,5.59,5.625,5.672,5.726,5.782,5.838,5.895,5.954,6.018,6.09,6.17,6.256,6.349,
Bosnia and Herzegovina,BIH,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.268,8.315,8.403,8.523,8.672,8.849,9.048,9.261,9.482,9.704,9.922,10.133,10.337,10.533,10.717,10.886,11.037,
Belarus,BLR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,13.5,14.1,14.9,14.6,14.4,14.7,14.4,13.9,14.1,14.2,14.4,14.3,13.4,13.2,12.8,12.6,12.6,
Belize,BLZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.031,5.921,5.772,5.598,5.416,5.25,5.127,5.061,5.057,5.111,5.209,5.324,5.428,5.5,5.532,5.523,5.483,
Bermuda,BMU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8,7.2,6.7,7.2,6.8,7.1,7.1,7,6.8,7.2,7.3,6.6,6.5,6.8,7.6,7.4,8,
Bolivia,BOL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.043,9.794,9.552,9.318,9.094,8.878,8.669,8.466,8.271,8.086,7.914,7.76,7.626,7.514,7.424,7.353,7.297,
Brazil,BRA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.994,5.933,5.889,5.86,5.843,5.836,5.836,5.841,5.848,5.859,5.873,5.895,5.927,5.971,6.027,6.092,6.165,
Barbados,BRB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.962,10.035,10.095,10.141,10.173,10.193,10.207,10.222,10.244,10.277,10.321,10.377,10.44,10.509,10.583,10.661,10.744,
Brunei Darussalam,BRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,2.933,2.876,2.838,2.824,2.835,2.868,2.921,2.985,3.055,3.126,3.196,3.262,3.326,3.388,3.45,3.512,3.575,
Bhutan,BTN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.537,8.15,7.79,7.464,7.176,6.928,6.723,6.557,6.423,6.319,6.239,6.179,6.132,6.097,6.067,6.043,6.022,
Botswana,BWA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.292,14.506,14.462,14.179,13.682,13.016,12.243,11.437,10.659,9.951,9.33,8.792,8.304,7.843,7.413,7.022,6.684,
Central African Republic,CAF,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,19.545,19.622,19.598,19.471,19.242,18.919,18.517,18.062,17.576,17.077,16.572,16.062,15.546,15.025,14.508,14.008,13.538,
Canada,CAN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.1,7.1,7.1,7.2,7.25,7.1,7,7.1,7.2,7.1,7.1,7,7.1,7.2,7.3,7.5,7.5,
Switzerland,CHE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.7,8.5,8.5,8.6,8.1,8.2,8.1,8.1,8,8.1,8,7.8,8,8,7.8,8.2,7.8,
Chile,CHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.268,5.28,5.303,5.337,5.381,5.435,5.496,5.564,5.635,5.707,5.777,5.843,5.905,5.963,6.016,6.066,6.115,
China,CHN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.45,6.43,6.41,6.4,6.42,6.51,6.81,6.93,7.06,7.08,7.11,7.14,7.15,7.16,7.16,7.11,7.3,
Cote d'Ivoire,CIV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,17.022,17.082,17.02,16.852,16.587,16.245,15.85,15.429,15.009,14.604,14.225,13.871,13.529,13.192,12.862,12.539,12.227,
Cameroon,CMR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.136,14.781,14.385,13.977,13.575,13.194,12.843,12.517,12.212,11.928,11.66,11.401,11.145,10.885,10.619,10.348,10.076,
