Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,0.400000006,,0.4,,,,0.42,0.42,0.4,0.4,,0.5,,,,,
Angola,AGO,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.8,,,,,,,,,,,,
Albania,ALB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.259999991,,,3.099999905,,3,2.9692,2.9,,2.8,,2.43,2.6,,,,,
Andorra,AND,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,3.200000048,2.589999914,,3.299999952,,2.7,2.6,2.6,,2.5,,,,,,,,
United Arab Emirates,ARE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,2.2,,,1.88,,1.86,1.9,,,,1.1,,,,,
Argentina,ARG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,4.1,,,,,4,,,,,4.5,4.5,4.7,,,,,
Armenia,ARM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,5.46999979,4.25,,4.400000095,,4.5,4.4,4.1,,3.7,,3.95,3.9,,,,,
American Samoa,ASM,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,2.6,2.3,2.5,2.4,2.4,2.4,2,1.7,2.2,2.2,2.1,,,,,,
Australia,AUS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.800000191,7.599999905,4,,3.9,4,3.97,,,3.8,3.9,,,,,,,
Austria,AUT,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.699999809,8.600000382,8.399999619,8.300000191,,7.7,7.6496,7.8,7.7,7.7,7.63,7.6,,,,,,
Azerbaijan,AZE,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,8.680000305,8.510000229,,8.300000191,,8.2,8.1,7.9,,7.5,,4.55,4.7,,,,,
Burundi,BDI,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,0.7,,,,,1.9,,,,,,
Belgium,BEL,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.099999905,6.900000095,6.900000095,,,5.3,5.3,5.3,,6.6,6.5,6.53,6.5,,,,,
Benin,BEN,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,0.5,,,,,0.5,,,,,,,
Burkina Faso,BFA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,,,,0.9,,,,0.4,,,,,,,
Bangladesh,BGD,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,0.3,0.34,,,0.3,,,,,,0.6,,,,,,
Bulgaria,BGR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,7.409999847,7.199999809,,6.300000191,,6.4,6.2,6.4011,6.5,6.6,6.5,6.4,,,,,,
Bahrain,BHR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,,,,2.799999952,,2.8,2.74,1.97,1.9,1.8,,,2.1,,,,,
