Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.883364339,5.229755775,6.039428306,8.434997714,9.123651121,8.854568097,7.471638846,7.081350026,6.842385662,7.553269089,,
Angola,AGO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.29397166,28.70338216,29.24667572,18.9982922,21.55707824,21.67386078,22.40370615,29.31213197,23.21255408,26.97887424,17.09994255,16.85607841,17.29031825,16.6611554,15.52444282,15.57108329,12.45711955,10.32323038,
Albania,ALB,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.42276821,8.553602234,9.479292857,13.70163251,,,,16.16084313,16.79084231,17.64535942,,,,,,,18.02201217,17.4832337,16.50327506,18.30194096,18.51578986,17.55717773,
Andorra,AND,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.992336344,1.075872392,1.122447005,,,,,,,,,,,,0.321413865,0.36378634,0.370450572,0.35572315,0.057734024,0.043494701,
Argentina,ARG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.838513147,5.008236547,5.547922134,8.015138006,8.126437228,8.054357652,8.171787775,8.690086356,9.030526186,9.076124336,9.622603502,9.324898794,9.818958347,12.5187797,13.1007799,13.10317565,12.8788867,12.44826845,13.31784636,12.38304156,12.85304269,12.6636277,12.95284151,12.45290276,12.61096661,12.33650694,12.15550537,
Armenia,ARM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99640565,14.33566341,14.39598656,15.96253173,17.32175873,16.50586323,17.0700514,17.21941905,17.49164208,,21.59917455,20.93122083,21.27737528,
American Samoa,ASM,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.65710571,14.70722438,16.05665823,16.58490296,17.20666,16.48779092,18.16990022,19.51182069,18.73907255,17.34652106,18.52558663,17.88094269,18.4728856,17.23873698,16.54203237,,,
Australia,AUS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,17.87151755,17.04835629,18.08918466,19.90694536,20.33336137,20.56741281,20.43797012,19.80212217,20.44646179,21.49830709,21.62157544,21.74977526,21.04863471,22.54900709,22.61728585,23.26702348,23.17454144,22.6862935,22.47248313,22.37111587,20.68109242,20.01926165,20.04521817,21.21431474,21.92915453,22.43094161,22.27200615,22.48754036,23.08737567,24.83249759,23.53798629,24.33414769,24.36135152,24.86867126,24.62722917,24.14230356,24.29616487,22.09326537,20.56541596,20.36926388,21.23623731,22.05964996,22.027653,22.04280981,22.28929311,
Austria,AUT,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,17.88878555,18.19695085,18.39734099,18.01092541,17.86233238,17.99929309,18.77754986,18.55011641,18.5780047,18.94982574,18.19042046,18.03258877,18.96407744,18.10378406,17.97233671,17.72008411,18.56280078,17.80575181,17.98108328,18.16717858,18.92048054,18.93545576,18.34557306,24.60010617,25.94003601,26.79771217,26.88984546,26.6278222,26.22507988,27.96557199,26.97550032,26.64696993,26.30867249,25.51395546,25.05044256,25.39199432,26.07751972,25.22516524,25.28163551,25.42798528,25.92819764,26.41517309,26.42451741,26.77938724,25.66657247,
Azerbaijan,AZE,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.56070903,17.95407255,9.85031325,10.69387768,12.6792613,12.73352618,,,,,,,,,16.42117537,14.10670899,12.15777699,12.22476095,12.77863937,13.38833316,14.21253565,15.60316293,,
Burundi,BDI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.14266298,15.12278396,14.92891631,15.61605477,16.67820658,13.43899658,11.42036173,13.85429535,13.16564559,,,,,,,,,,,13.89198897,14.74165587,13.68091135,12.18157123,,,,
Belgium,BEL,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.48599868,25.83036032,26.34749857,26.94690937,26.79739258,27.07979955,26.64002643,25.54322595,24.94918385,25.37625021,25.35331231,25.16964778,24.71096929,25.0875049,23.6206033,24.33392997,24.71130129,25.71000627,26.18783514,26.2629906,24.66737592,23.13602613,
Benin,BEN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.68722108,14.41254927,14.27134878,14.63589688,13.80928299,14.21312352,15.69439397,16.11566765,14.99409881,15.53359234,14.82327095,14.41349954,15.38427533,,,,
Burkina Faso,BFA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.86615802,11.0910164,12.69900946,11.75281559,12.12247543,12.68569583,11.86432722,12.51525022,12.7204265,13.74683271,15.62609967,16.8171059,15.37169965,15.07492976,15.83588892,
Bangladesh,BGD,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.611160271,6.691384191,6.965213904,7.046448418,7.135670039,7.043304058,6.917262669,7.656029883,7.498116263,7.834684749,8.685924706,9.02456269,8.962413316,8.635377737,8.498349389,8.765028663,
Bulgaria,BGR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.83312845,22.33382461,16.90338645,15.21378387,21.23896499,17.81544252,16.64214623,14.94287277,16.57578311,17.05033488,17.15913176,17.27190335,15.41408085,19.92464113,21.21665639,20.46719041,21.11192974,22.88226869,22.17890096,19.03347085,18.45090429,17.7392303,18.97682483,19.82041134,19.55372736,20.20226078,20.04105072,
Bahrain,BHR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.187374245,5.041193755,5.39072996,5.349562727,5.173401874,4.796762972,5.042932705,5.097809027,5.664272504,5.013055032,3.732774434,4.103637924,3.564633895,3.306810726,4.216838363,1.161845378,1.166156455,1.145097962,1.235816863,1.363166786,1.176228436,1.114154271,,1.069892855,,,,
"Bahamas, The",BHS,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,14.50290654,16.74573055,16.30325394,17.24030525,15.90462833,16.25420471,15.26583477,14.96292968,14.60217315,13.50820503,14.1966759,13.27715448,13.58210943,13.70273003,,14.08495688,13.17439582,13.86291851,13.63799997,15.43261499,15.39456662,16.71678429,17.34616506,17.04904406,10.39523969,9.972501983,10.32367804,10.67868759,9.859542693,8.999094713,9.288519057,9.428334156,10.00170798,11.24833165,11.35886589,12.12136614,11.25206873,10.87690278,12.87831229,11.90844643,11.43762468,11.36726201,12.72396394,14.15882522,
Bosnia and Herzegovina,BIH,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.88222191,21.68672856,21.39744969,20.30211318,18.94628629,19.68567609,20.30566528,20.47753979,19.75154464,19.77790156,19.93647719,19.9541372,
Belarus,BLR,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.54347826,26.63959391,24.75018266,19.88764693,18.79977481,20.73459095,17.11232894,16.67247619,16.6247345,15.75466424,14.20103832,17.68812191,18.3713469,20.14965628,22.22309662,23.72669873,25.35338921,19.25962841,16.32143837,14.50907256,14.66297503,13.35496285,12.69772453,14.17309447,13.78823561,
Belize,BLZ,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.40612517,20.71097425,19.93558572,19.52190577,19.91611802,18.75293079,19.5388471,19.65523146,19.69840163,17.40151093,17.82759422,18.70201498,19.29978478,19.17432106,19.6634102,21.30391276,21.78411154,22.92252421,21.6991117,22.48112271,23.59665208,22.56622302,22.45715073,23.33207871,23.42543819,,,
Bermuda,BMU,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
